date,market,ticker,name,high,close,change_pct
2026-08-24,JP,9101.T,日本郵船,7219.0,7200.0,1.39
2026-08-24,JP,9432.T,NTT,167.4,166.5,0.24
2026-08-24,US,ABNB,Airbnb,193.45,190.21,1.55
2026-08-24,US,AMGN,Amgen,445.87,443.84,1.03
2026-08-24,US,BDX,Becton Dickinson,193.04,190.74,-0.66
2026-08-24,US,DGX,Quest Diagnostics,245.93,243.87,-0.21
2026-08-24,US,DXCM,Dexcom,92.59,91.06,-1.39
2026-08-24,US,EXPE,Expedia Group,341.09,339.12,5.44
2026-08-24,US,FCX,Freeport-McMoRan,78.88,77.8,1.49
2026-08-24,US,GPN,Global Payments,95.88,94.3,0.87
2026-08-24,US,IQV,IQVIA,261.88,260.24,0.16
2026-08-24,US,KO,Coca-Cola Company (The),92.49,91.99,0.98
2026-08-24,US,LH,Labcorp,339.69,339.34,0.89
2026-08-24,US,OMC,Omnicom Group,89.56,88.94,1.6
2026-08-24,US,SCHW,Charles Schwab Corporation,114.53,113.65,1.2
2026-08-24,US,SOLV,Solventum,91.51,91.25,1.88
2026-08-24,US,TGT,Target Corporation,170.75,169.89,2.69
2026-08-24,US,V,Visa Inc.,383.42,382.41,3.06
2026-08-24,US,VLO,Valero Energy,353.0,346.0,-0.82
