date,market,ticker,name,high,close,change_pct
2026-08-14,JP,6752.T,パナソニックHD,4982.0,4679.0,2.3
2026-08-14,JP,6857.T,アドバンテスト,38730.0,35940.0,4.02
2026-08-14,JP,8411.T,みずほFG,8819.0,8775.0,3.21
2026-08-14,JP,9101.T,日本郵船,6441.0,6211.0,1.35
2026-08-14,US,AMP,Ameriprise Financial,572.56,569.54,-0.2
2026-08-14,US,CFG,Citizens Financial Group,74.86,74.73,0.84
2026-08-14,US,CRWD,CrowdStrike,227.5,216.95,-3.8
2026-08-14,US,DXCM,Dexcom,91.93,89.75,-1.89
2026-08-14,US,EXPD,Expeditors International,189.87,186.12,-0.5
2026-08-14,US,EXPE,Expedia Group,333.24,332.69,1.33
2026-08-14,US,IVZ,Invesco,32.65,32.55,0.59
2026-08-14,US,LYV,Live Nation Entertainment,189.24,188.46,1.29
2026-08-14,US,MPC,Marathon Petroleum,360.1,355.42,-0.27
2026-08-14,US,MRK,Merck & Co.,135.97,135.84,0.21
2026-08-14,US,OMC,Omnicom Group,88.43,87.57,-0.89
2026-08-14,US,PSX,Phillips 66,236.1,233.61,0.43
2026-08-14,US,SCHW,Charles Schwab Corporation,111.18,111.09,0.94
2026-08-14,US,TECH,Bio-Techne,72.43,72.4,0.32
2026-08-14,US,VLO,Valero Energy,346.09,341.67,-0.36
